Gene	LAR	MES	BLIA	BLIS
ADAMDEC1	0.3484	0.3431	0.66	0.3527
AGR2	0.8574	0.3444	0.322	0.3151
AGTR1	0.3069	0.387	0.108	0.1408
AIM2	0.3963	0.4076	0.6444	0.4182
AR	0.8947	0.6124	0.5004	0.5949
BCL11A	0.2122	0.5166	0.7148	0.7856
BST2	0.9191	0.8331	0.9063	0.7856
CA12	0.8282	0.5532	0.509	0.5372
CCL5	0.6505	0.6729	0.8306	0.6633
CD2	0.6686	0.6463	0.8331	0.599
CD36	0.4819	0.746	0.367	0.3903
CDH1	0.8261	0.5751	0.6735	0.7971
CFD	0.8309	0.9269	0.6854	0.635
CHI3L1	0.4388	0.7168	0.8003	0.8351
COL9A3	0.4644	0.4076	0.5033	0.7545
CXCL11	0.2995	0.1875	0.689	0.3494
CXCL9	0.8457	0.7387	0.9709	0.7831
DHRS2	0.6133	0.1297	0.1338	0.1432
DPT	0.7128	0.8457	0.5925	0.6125
DSC2	0.4298	0.4016	0.6436	0.7692
EDNRB	0.2681	0.5977	0.2238	0.2463
ENPP2	0.5963	0.8444	0.6207	0.4877
EPHB3	0.5399	0.5259	0.5949	0.7889
ERBB4	0.3085	0.1057	0.0884	0.0966
EZH2	0.6537	0.3783	0.8547	0.8106
FGL2	0.6569	0.758	0.7443	0.5295
FHL1	0.3915	0.6184	0.2897	0.3441
FOXA1	0.6468	0.0691	0.0978	0.0655
FOXC1	0.6468	0.8338	0.9063	0.9689
GABRP	0.2505	0.6742	0.8453	0.9787
GBP1	0.734	0.7181	0.9165	0.7602
GBP5	0.4197	0.4069	0.7193	0.4276
GPX3	0.7734	0.8976	0.6854	0.7402
GZMB	0.3372	0.4754	0.7565	0.367
HBB	0.7559	0.8737	0.633	0.7021
HERC5	0.6117	0.621	0.8478	0.7136
HLA-DMA	0.8596	0.891	0.9051	0.8065
IGF1	0.6085	0.7926	0.4832	0.5274
IGSF6	0.3452	0.3318	0.4051	0.277
IRX1	0.409	0.5951	0.5458	0.8498
KCNK5	0.4665	0.4927	0.6678	0.8044
LAMP3	0.5213	0.5439	0.8924	0.7766
LEP	0.3367	0.6004	0.2791	0.3081
LPL	0.6723	0.9176	0.6727	0.7868
MEOX2	0.0207	0.0525	0.0209	0.0176
MIA	0.5005	0.621	0.6911	0.8748
NAT1	0.9085	0.5844	0.5094	0.5061
OGN	0.4441	0.6576	0.0994	0.1244
PBK	0.5255	0.3198	0.7946	0.7021
PIP	0.9213	0.607	0.588	0.6363
PLAT	0.8574	0.7387	0.502	0.7181
PROM1	0.3043	0.6257	0.9014	0.921
PSAT1	0.4239	0.5971	0.7541	0.7332
PSMB9	0.9085	0.9089	0.9738	0.8895
PTGER4	0.516	0.5838	0.5491	0.4574
RARRES3	0.817	0.6729	0.7578	0.5777
RHOH	0.4606	0.264	0.358	0.2099
SCARA5	0.2191	0.4973	0.2345	0.2402
SCUBE2	0.8101	0.5372	0.2664	0.3515
SEMA5A	0.717	0.6961	0.5078	0.6232
SERPINB5	0.3128	0.3025	0.4006	0.5483
SFRP1	0.4176	0.8271	0.7966	0.903
SIDT1	0.7122	0.135	0.1739	0.0777
SLAMF7	0.3468	0.3783	0.516	0.3707
SOX10	0.5351	0.5459	0.5818	0.7508
SPOCK1	0.859	0.7906	0.5634	0.7799
SPON1	0.5793	0.7021	0.3768	0.5872
SRPX	0.766	0.9402	0.7001	0.7917
STAT1	0.6798	0.5838	0.7807	0.6633
TAP1	0.8574	0.8245	0.957	0.8752
TAP2	0.4606	0.4521	0.6256	0.5327
TFF1	0.8303	0.4761	0.4034	0.4525
TFF3	0.8505	0.4129	0.3539	0.3613
TIMP4	0.3011	0.5938	0.2594	0.2602
TSHZ3	0.6771	0.6503	0.5061	0.57
TTYH1	0.1479	0.2507	0.3081	0.5696
ZBTB16	0.3888	0.4295	0.178	0.171
