Marker	Basal-like	Claudin-low
ALDH1A1	-0.868417722	1.5371875
CD24	0.577405063	-1.561197917
CD44	0.458829114	0.668203125
CDH1	-0.542626582	-2.744322917
CLDN3	0.246202532	-1.953125
CLDN4	0.17021097	-1.581041667
CLDN7	-0.25835443	-1.855052083
EPCAM	0.061518987	-3.126875
ERBB2	-0.436202532	-1.223854167
ESR1	-1.930654008	-1.554364583
GATA3	-1.977637131	-2.203645833
HIF1A	0.120516576	0.802852679
ITGA6	0.395801688	0.22984375
ITGB1	-0.141012658	0.463828125
KRT14	0.579189873	0.013322917
KRT17	1.122542194	-0.04203125
KRT18	-0.977018284	-1.697421875
KRT19	-0.624810127	-2.74375
KRT5	1.108860759	0.182916667
MKI67	0.762183544	-0.158828125
MME	-0.151434599	1.267708333
MUC1	-0.928691983	-1.244479167
OCLN	-0.09414557	-1.23890625
PGR	-0.454421941	-0.4128125
SNAI1	0.277468354	0.9615625
SNAI2	0.252088608	0.75515625
THY1	-0.169556962	0.680546875
TWIST1	-0.007531646	0.84
TWIST2	-0.057390295	1.04625
VIM	0.107489451	1.18140625
ZEB1	-0.544670886	0.730625
ZEB2	-0.2817827	1.786015625
CD44/CD24 ratio	-1.508135021	1.215283854
ITGA6/EpCAM ratio	0.3342827	3.35671875
