gene,11-00466,11-00473,11-00476,11-00478,11-00499,11-00503,12-00016,12-00032,12-00035,12-00069,12-00071,12-00085,12-00109,12-00111,12-00116,12-00123,12-00125,12-00127,12-00145,12-00154
A1BG,61,233,29,384,138,268,381,214,198,562,99,192,423,194,521,353,586,541,157,454
A1BG.AS1,8,35,0,52,26,50,69,36,34,51,23,28,70,25,72,47,71,51,36,44
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
A2M,3,11,0,22,51,8,7,18,33,101,21,39,13,22,86,17,139,6,47,8
A2M.AS1,11,163,5,126,132,154,3,51,114,26,159,13,13,39,209,211,12,1,189,314
A2ML1,0,4,2,10,16,14,16,1,8,11,4,20,10,0,43,14,2,4,13,8
A2MP1,0,3,0,3,2,1,1,8,3,0,0,3,2,0,25,2,1,1,5,0
A4GALT,2,14,1,175,226,103,1,5,8,42,1,19,17,1,4,1,14,0,63,59
A4GNT,0,1,0,3,17,0,0,17,0,1,2,5,0,5,3,1,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,339,1504,233,1785,1027,1933,1238,962,1279,2410,1128,1116,1865,881,1815,1905,2847,2022,1369,1647
AACS,49,786,10,645,505,725,750,298,537,649,338,808,993,423,1674,995,1252,225,445,756
AACSP1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
AADAC,0,0,5,0,0,2,1,0,0,3,0,1,1,0,0,1,0,0,0,1
AADACL2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AADACL3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,14,420,0,405,51,1,11,4,4,208,117,106,0,9,282,5,85,30,3,87
AAED1,13,302,7,399,273,575,785,350,621,452,455,340,610,412,541,796,117,429,518,584
AAGAB,89,1209,34,1438,996,2262,1250,988,1718,1711,1694,1224,2119,1291,1074,2325,220,1428,1695,1974
AAK1,225,1150,278,1648,1844,2834,2859,2900,4132,2115,1606,1364,2630,1684,1660,3213,1585,920,1121,1009
AAMDC,20,258,19,360,168,415,237,156,216,424,166,210,352,102,308,279,308,328,306,354
AAMP,192,3046,74,3996,1778,3153,3520,2383,2399,4682,1963,2201,3149,1618,3218,4072,7293,2352,2903,3153
AANAT,5,10,0,21,63,36,32,107,67,18,10,17,32,24,3,18,31,9,4,6
AAR2,53,881,44,1335,606,1553,1522,691,1004,2251,1047,1184,1508,1122,2218,1724,2879,917,1162,1376
AARD,0,0,0,0,0,0,0,0,0,0,0,0,4,1,18,0,0,0,0,0
AARS,280,3637,144,2898,2669,3139,2234,888,2497,4299,3073,2833,2709,1011,3732,3903,2981,1760,3550,2541
AARS2,303,1156,197,1404,682,938,614,627,1035,1465,1097,841,1129,355,1242,1405,2684,645,1060,707
AARSD1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,0,0,0
AASDH,43,723,31,572,389,979,600,346,910,1134,681,735,779,648,907,1141,45,799,835,514
AASDHPPT,38,991,32,1118,651,1886,1038,630,1269,2264,1409,1238,1203,1127,1489,2027,155,1080,1640,710
AASS,5,534,2,807,240,14,4,7,15,8,0,155,17,206,1287,0,1,1,4,4
AATF,137,2724,93,1824,2586,2426,2677,2004,2751,3567,2197,2463,2282,1800,1348,3265,2435,1718,2247,2044
AATK,24,86,8,1754,2166,703,505,818,874,548,241,606,719,1312,1203,218,7064,126,201,157
AATK.AS1,0,0,0,1,0,1,1,0,2,1,0,4,3,0,15,0,7,0,0,1
ABAT,17,145,5,319,640,788,552,1285,538,774,267,317,425,308,1637,777,693,398,156,174
ABCA1,7,619,8,85,2833,973,1235,654,1415,1211,401,571,891,1042,1219,254,832,241,312,58
ABCA10,5,14,7,41,20,51,60,34,23,12,22,25,16,56,70,40,2,7,8,7
ABCA11P,3,136,0,163,37,98,95,50,7,195,58,64,13,49,205,73,76,56,2,7
ABCA12,0,4,0,2,4,3,3,0,0,0,0,0,4,4,10,1,0,1,2,1
ABCA13,3,14,0,386,10377,118,38,6124,470,1204,152,1116,287,2921,225,82,5717,18,204,98
ABCA17P,0,5,0,17,8,2,1,1,4,8,3,0,5,1,9,0,50,2,1,3
ABCA2,504,16259,475,11089,4535,3931,6381,1603,3244,4134,4274,4440,5011,1972,14140,2139,18933,4538,3948,4982
ABCA3,11,276,27,413,655,380,421,72,127,291,25,88,525,563,785,147,111,185,155,207
ABCA4,0,0,0,1,4,3,0,2,2,2,0,0,0,0,4,0,0,1,0,0
ABCA5,128,194,207,1376,706,803,275,934,682,206,417,386,330,730,1219,705,47,112,89,361
ABCA6,1,7,2,45,5,30,164,34,9,59,4,39,16,6,31,38,1,3,167,14
ABCA7,2652,8673,1561,11653,8721,6662,4591,10766,7744,3135,3615,4738,6461,8281,5916,4588,38073,2521,2823,2356
ABCA8,0,0,0,0,0,1,85,0,1,0,0,1,0,0,1,0,5,0,0,2
ABCA9,2,28,3,63,2,44,731,79,30,54,8,40,12,30,33,45,3,6,43,29
ABCB1,0,2322,14,1081,391,173,41,44,86,1240,8,62,98,89,3770,26,1022,11,29,409
ABCB10,72,1460,30,1526,2441,1736,1481,1772,1705,2810,1883,1487,1274,1762,1382,2933,1490,1177,1646,1557
ABCB11,1,0,1,0,17,3,2,5,2,9,0,3,3,3,4,2,1,0,0,1
ABCB4,2,31,1,20,24,15,13,11,6,1,0,1,52,7,10,16,13,2,5,8
ABCB5,2,0,0,6,2,0,0,0,0,0,0,0,31,1,1,0,0,0,1,2
ABCB6,266,431,80,1401,558,228,244,142,191,437,55,307,269,73,424,158,731,190,96,472
ABCB7,103,1753,99,1293,686,1288,912,919,1166,851,1369,768,1462,1053,834,1427,352,1377,1081,1100
ABCB8,219,1269,236,1276,589,835,720,552,952,969,648,373,1287,424,331,1164,1729,938,918,1254
ABCB9,24,89,21,111,110,138,147,29,103,113,51,101,117,50,441,132,406,103,113,155
ABCC1,768,4024,240,4515,3684,16550,8138,2258,7155,10990,3743,5074,7435,2387,17571,6836,13307,7243,7126,10259
ABCC10,114,760,66,1225,870,1376,844,1166,1523,950,1132,1155,1432,1462,1836,1149,3214,559,833,741
ABCC11,0,0,0,1,4,3,3,3,1,3,3,1,5,1,9,3,4,1,2,5
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC13,0,4,0,43,0,0,0,1,1,0,0,0,0,0,4,0,0,2,0,0
