CHR	START	END	UPPER	LOWER
chr1	1	249250621	5	0.5
chr2	1	243199373	5	0.5
chr3	1	198022430	5	0.5
chr4	1	191154276	5	0.5
chr5	1	180915260	5	0.5
chr6	1	171115067	5	0.5
chr7	1	159138663	5	0.5
chr8	1	146364022	5	0.5
chr9	1	141213431	5	0.5
chr10	1	135534747	5	0.5
chr11	1	135006516	5	0.5
chr12	1	133851895	5	0.5
chr13	1	115169878	5	0.5
chr14	1	107349540	5	0.5
chr15	1	102531392	5	0.5
chr16	1	90354753	5	0.5
chr17	1	81195210	5	0.5
chr18	1	78077248	5	0.5
chr19	1	59128983	5	0.5
chr20	1	63025520	5	0.5
chr21	1	48129895	5	0.5
chr22	1	51304566	5	0.5
chrX	1	155270560	5	0.5
chrY	1	59373566	5	0.5
